target,gr_code,lddt,tm_score,gdt_ts,inf_all,TM_align,inf_stack,inf_wc,inf_nwc,lddt_no_checks,global_rmsd,clashscore,clashes_number,Z_lddt,Z_tm_score,Z_gdt_ts,Z_inf_all,Z_TM_align,Z_inf_stack,Z_inf_wc,Z_inf_nwc,Z_lddt_no_checks,Z_global_rmsd,Z_clashscore,Z_clashes_number,Z_CASP15,Z_CASP16_t33_g33_l33,Z_CASP16_t30_g30_l40,Z_CASP16_t25_g25_l50,Z_CASP16_t20_g20_l60,Z_topo,Z_rmsd_inf
R1203,406 - 159,0.81,0.717,0.52,0.9,0.789,0.87,0.98,0.93,0.81,8.68,1.39,0.0,0.7820896268135565,2.1085956986907965,0.48856991820184,0.6454748661379096,2.181488654348771,0.5378960017021498,0.5145981371581151,0.7396098918849149,0.7044422195495149,0.5901473827636607,0.5501060607244507,0.28146513431780396,1.0803036797355112,1.126418414568731,1.0919855357932136,1.0403362176299373,0.9886868994666612,1.2985828084463182,0.6178111244507851
R1203,AF3-server - S 304,0.829,0.633,0.55,0.91,0.673,0.89,0.98,0.92,0.829,8.45,4.4,0.0,0.9547513890149505,0.9917670803497405,0.9395575350035377,0.7989444147301402,0.8886045285015666,0.8862476980425901,0.5145981371581151,0.6858497015056149,0.9030758615525636,0.6561152566248712,0.2526373089591956,0.28146513431780396,0.8775805153996971,0.9620253347894095,0.9612979402119637,0.9602068483457948,0.9591157564796259,0.9656623076766391,0.7275298356775057
R1203,B-LAB - 231,0.807,0.629,0.52,0.9,0.686,0.88,0.98,0.88,0.812,8.86,0.69,0.0,0.754827243308073,0.9385847651906425,0.48856991820184,0.6454748661379096,1.0334967150189258,0.7120718498723699,0.5145981371581151,0.47080893998841494,0.7253510239708886,0.5385203510461919,0.6192848402047424,0.28146513431780396,0.6986785340781558,0.7273273089001852,0.7300773023409739,0.7342022925021572,0.7383272826633402,0.7135773416962412,0.5919976085920508
R1203,BRIQX - 238,0.823,0.556,0.59,0.9,0.586,0.87,0.98,0.88,0.823,6.86,5.79,0.0,0.9002266220039836,-0.03199248646289409,1.5408743574057995,0.6454748661379096,-0.08105856588383781,0.5378960017021498,0.5145981371581151,0.47080893998841494,0.8403494482884426,1.112154036795847,0.11526801827690185,0.28146513431780396,0.6982943311406711,0.8030361643156296,0.812755210084465,0.8273337787377182,0.8419123473909713,0.7544409354714527,0.8788144514668783
R1203,Bhattacharya - 369,0.821,0.6,0.54,0.91,0.66,0.89,0.98,0.93,0.834,7.89,4.17,0.0,0.8820516996669947,0.5530129802871822,0.7892283294029718,0.7989444147301402,0.7437123419842073,0.8862476980425901,0.5145981371581151,0.7396098918849149,0.9553478726059977,0.8167326886347747,0.275367479359863,0.28146513431780396,0.6896475957603906,0.7414310031190495,0.755493072773844,0.7765861772560358,0.7976792817382277,0.671120654845077,0.8078385516824574
R1203,CSSB_experimental - 286,0.764,0.571,0.45,0.88,0.618,0.86,0.96,0.91,0.764,8.79,2.78,0.0,0.3640664130628106,0.16744119538372185,-0.5637345210021204,0.3385357689534484,0.27559912400504655,0.36372015353192977,0.13833283256938533,0.632089511126315,0.22353971785792057,0.5585975300474298,0.4127367700421568,0.28146513431780396,-0.027443608517865342,-0.010742304185195992,0.026738567539604685,0.08295987512680567,0.13918118271400665,-0.1981466628091993,0.4485666495004391
R1203,Diff - 033,0.0,0.042,0.02,0.0,0.013,0.0,0.0,0.0,0.118,34.49,32.03,545282.0,-6.578753919666963,-6.865919984406978,-7.027890361826448,-13.166784507162834,-6.467460325456668,-14.615402789106986,-17.922401787689626,-4.26008781338998,-6.530004110245768,-6.812595331835642,-2.4779479439557526,-53247.14329626105,-7.29986435458353,-6.824188088633463,-6.799644671736813,-6.762829546391838,-6.726014421046862,-6.946905173116713,-9.989689919499238
R1203,GeneSilico - 338,0.711,0.513,0.49,0.88,0.549,0.86,0.96,0.8,0.77,8.65,10.19,1.0,-0.11756902886739659,-0.6037023744231973,0.03758230140014231,0.3385357689534484,-0.4934440198178591,0.36372015353192977,0.13833283256938533,0.04072741695401567,0.2862661311220416,0.5987518880499054,-0.3195700241706469,0.18381396526876992,-0.13723728884580266,-0.2278963672968172,-0.21686363345387513,-0.20031453268946203,-0.18376543192504896,-0.2830600365115275,0.4686438285016769
R1203,GeneSilicoRNA-server - S 306,0.008,0.508,0.46,0.8,0.519,0.8,0.89,0.52,0.661,12.54,174.2,50.0,-6.506054230319007,-0.6701802683720698,-0.41340531540155456,-0.8892206197843948,-0.8278106040886882,-0.6813349354893888,-1.1785957334911668,-1.4645579136663827,-0.8532637098428222,-0.5169656307331737,-16.528158056403026,-4.601093318133897,-1.9563522404948621,-2.5298799380308767,-2.92749736725969,-3.5239235111029097,-4.120349654946129,-0.5417927918868122,-0.7030931252587842
R1203,GromihaLab - 272,0.824,0.605,0.55,0.9,0.655,0.88,0.98,0.92,0.824,8.41,3.01,0.0,0.9093140831724782,0.6194908742360546,0.9395575350035377,0.6454748661379096,0.6879845779390691,0.7120718498723699,0.5145981371581151,0.6858497015056149,0.8508038504991294,0.6675879303398641,0.3900065996414895,0.28146513431780396,0.7392181926296181,0.8227874974706901,0.8314401560408691,0.8444191438961371,0.8573981317514053,0.7795242046197961,0.6565313982388868
