#Model         Gr.Code  ICS(F1)   Prec.Iface  Recal.Iface  IPS        QSglob   QSbest   lDDT       ilDDT      GDT_TS     RMSD       TMscore    TMalign    GlobDockQ    BestDockQ  Mol.Size  Stoich.  MDL.Conts  REF.Conts  MDL.Clash  ICS_Interfaces                           ICS_perInterface

R0250TS262_4o  262      0.031     0.055      0.022       0.110      0.001    0.001    0.277      0.024      0.011      92.215     0.137      0.084      0.016        0.049      4        A4       221        366        0          -                                        [0.094, 0.0, None, None, None, 0.094]    
R0250TS262_1o  262      0.031     0.055      0.022       0.110      0.001    0.001    0.277      0.024      0.011      92.215     0.137      0.084      0.016        0.049      4        A4       221        366        0          -                                        [0.094, 0.0, None, None, None, 0.094]    
R0250TS262_2o  262      0.005     0.005      0.005       0.086      0.011    0.027    0.145      0.000      0.011      78.906     0.098      0.051      0.012        0.012      2        A2       577        366        2          -                                        [None, 0.081, None, None, None, None]    
R0250TS262_5o  262      0.005     0.005      0.005       0.086      0.011    0.027    0.145      0.000      0.011      78.906     0.098      0.051      0.012        0.012      2        A2       577        366        2          -                                        [None, 0.081, None, None, None, None]    
R0250TS304_4o  304s     0.000     0.000      0.000       0.079      0.000    0.000    0.000      0.000      0.010      98.731     0.108      0.058      0.002        0.004      3        A3       17122      366        91762      -                                        [None, None, None, None, 0.043, 0.043]   
R0250TS450_3o  450s     0.000     0.000      0.000       0.054      0.000    0.000    0.126      0.000      0.009      70.968     0.112      0.072      0.002        0.002      2        A2       22         366        197        -                                        [None, None, 0.136, None, None, None]    
R0250TS304_1o  304s     0.000     0.000      0.000       0.101      0.000    0.000    0.164      0.000      0.010      86.666     0.110      0.060      0.002        0.004      3        A3       297        366        729        -                                        [0.11, 0.133, None, None, None, None]    
R0250TS028_4o  028s     0.000     0.000      0.000       0.003      0.000    0.000    0.170      0.000      0.011      87.495     0.123      0.080      0.001        0.003      3        A3       270        366        575        -                                        [0.0, 0.0, None, None, None, None]       
R0250TS462_2o  462      0.000     0.000      0.000       0.036      0.000    0.000    0.172      0.000      0.009      80.154     0.123      0.073      0.002        0.005      3        A3       518        366        551        -                                        [None, None, None, None, 0.055, 0.071]   
R0250TS028_2o  028s     0.000     0.000      0.000       0.036      0.000    0.000    0.172      0.000      0.009      80.154     0.123      0.073      0.002        0.005      3        A3       518        366        551        -                                        [None, None, None, None, 0.055, 0.071]   
R0250TS450_4o  450s     0.000     0.000      0.000       0.037      0.000    0.000    0.181      0.000      0.010      78.120     0.128      0.070      0.001        0.003      3        A3       128        366        869        -                                        [0.062, None, 0.071, None, None, None]   
R0250TS028_1o  028s     0.000     0.000      0.000       0.032      0.000    0.000    0.173      0.000      0.009      88.200     0.104      0.077      0.001        0.003      3        A3       465        366        533        -                                        [None, 0.039, None, None, None, None]    
R0250TS110_2o  110s     0.000     0.000      0.000       0.039      0.000    0.000    0.176      0.001      0.010      75.721     0.115      0.073      0.003        0.005      3        A3       47         366        513        -                                        [0.056, 0.037, None, None, None, None]   
R0250TS481_4o  481      0.000     0.000      0.000       0.042      0.000    0.000    0.246      0.015      0.010      77.592     0.164      0.087      0.004        0.011      4        A4       192        366        1094       -                                        [None, 0.0, None, None, 0.0, 0.055]      
R0250TS272_5o  272      0.000     0.000      0.000       0.013      0.000    0.000    0.117      0.000      0.010      68.457     0.108      0.063      0.003        0.003      2        A2       373        366        248        -                                        [None, None, None, 0.007, None, None]    
R0250TS028_3o  028s     0.000     0.000      0.000       0.055      0.000    0.000    0.179      0.002      0.009      77.103     0.125      0.068      0.002        0.003      3        A3       73         366        412        -                                        [None, 0.075, None, None, None, 0.073]   
R0250TS241_1o  241      0.000     0.000      0.000       0.013      0.000    0.000    0.179      0.001      0.010      75.212     0.117      0.088      0.002        0.004      3        A3       24         366        431        -                                        [None, None, 0.0, 0.038, None, None]     
R0250TS450_5o  450s     0.000     0.000      0.000       0.036      0.000    0.000    0.237      0.000      0.011      100.243    0.138      0.089      0.002        0.006      4        A4       93         366        1378       -                                        [None, 0.082, None, None, 0.067, 0.0]    
R0250TS110_3o  110s     0.000     0.000      0.000       0.000      0.000    0.000    0.178      0.000      0.010      80.108     0.105      0.064      0.002        0.004      3        A3       420        366        408        -                                        [None, None, None, None, 0.0, 0.0]       
R0250TS304_5o  304s     0.000     0.000      0.000       0.079      0.000    0.000    0.000      0.000      0.010      96.566     0.106      0.058      0.002        0.004      3        A3       17802      366        95605      -                                        [0.043, 0.043, None, None, None, None]   
R0250TS110_1o  110s     0.000     0.000      0.000       0.000      0.000    0.000    0.178      0.000      0.009      80.154     0.129      0.069      0.002        0.003      3        A3       412        366        399        -                                        [None, None, None, None, 0.0, 0.0]       
R0250TS262_3o  262      0.000     0.000      0.000       0.103      0.000    0.000    0.422      0.022      0.012      103.746    0.196      0.107      0.002        0.013      6        A6       1135       366        0          -                                        [0.068, 0.083, 0.036, 0.095, 0.068, 0.036] 
R0250TS462_3o  462      0.000     0.000      0.000       0.000      0.000    0.000    0.178      0.000      0.009      80.154     0.129      0.069      0.002        0.003      3        A3       412        366        399        -                                        [None, None, None, None, 0.0, 0.0]       
R0250TS189_5o  189      0.000     0.000      0.000       0.024      0.000    0.000    0.092      0.000      0.010      73.114     0.101      0.063      0.002        0.002      2        A2       167        366        1683       -                                        [None, None, None, None, None, 0.037]    
R0250TS167_4o  167      0.000     0.000      0.000       0.037      0.000    0.000    0.181      0.000      0.010      78.120     0.128      0.070      0.001        0.003      3        A3       128        366        869        -                                        [0.062, None, 0.071, None, None, None]   
R0250TS241_5o  241      0.000     0.000      0.000       0.052      0.000    0.000    0.124      0.000      0.009      66.312     0.110      0.053      0.003        0.003      2        A2       259        366        304        -                                        [None, None, None, None, None, 0.065]    
R0250TS241_3o  241      0.000     0.000      0.000       0.101      0.000    0.000    0.164      0.000      0.010      86.666     0.110      0.060      0.002        0.004      3        A3       297        366        729        -                                        [0.11, 0.133, None, None, None, None]    
R0250TS462_4o  462      0.000     0.000      0.000       0.039      0.000    0.000    0.176      0.001      0.010      75.721     0.115      0.073      0.003        0.005      3        A3       47         366        513        -                                        [0.056, 0.037, None, None, None, None]   
R0250TS167_3o  167      0.000     0.000      0.000       0.054      0.000    0.000    0.126      0.000      0.009      70.968     0.112      0.072      0.002        0.002      2        A2       22         366        197        -                                        [None, None, 0.136, None, None, None]    
R0250TS167_5o  167      0.000     0.000      0.000       0.036      0.000    0.000    0.237      0.000      0.011      100.243    0.138      0.089      0.002        0.006      4        A4       93         366        1378       -                                        [None, 0.082, None, None, 0.067, 0.0]    
