interface_type,model,target,ics_naive_mean,ics_mean,ics_log10_mean,ips_naive_mean,ips_mean,ips_log10_mean,ilddt_naive_mean,ilddt_mean,ilddt_log10_mean
all,M0268TS028_1,M0268,0.0,0.0,0.0,0.03481818181818181,0.02300777202072539,0.029807218246205358,0.13447236318111308,0.12769430051813474,0.13168755778570224
NA-NA,M0268TS028_1,M0268,,,,,,,,,
NA-protein,M0268TS028_1,M0268,0.0,0.0,0.0,0.07659999999999999,0.05163372093023256,0.06615164362357347,0.266989509557455,0.25469767441860464,0.26185554842250425
protein-protein,M0268TS028_1,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.024041407867494823,0.02561682242990654,0.02493265203893987
NA-containing,M0268TS028_1,M0268,0.0,0.0,0.0,0.07659999999999999,0.05163372093023256,0.06615164362357347,0.266989509557455,0.25469767441860464,0.26185554842250425
all,M0268TS028_2,M0268,0.005181818181818182,0.0029533678756476687,0.004261804608458669,0.039,0.025476683937823832,0.0332782147936642,0.13403376544663728,0.1271476683937824,0.1312071438833651
NA-NA,M0268TS028_2,M0268,,,,,,,,,
NA-protein,M0268TS028_2,M0268,0.0114,0.006627906976744187,0.00945829219363507,0.0858,0.05717441860465116,0.07385488264204115,0.2667302499845634,0.25413953488372093,0.2614900067976762
protein-protein,M0268TS028_2,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.023453361665032143,0.02507943925233645,0.024358027731276464
NA-containing,M0268TS028_2,M0268,0.0114,0.006627906976744187,0.00945829219363507,0.0858,0.05717441860465116,0.07385488264204115,0.2667302499845634,0.25413953488372093,0.2614900067976762
all,M0268TS028_3,M0268,0.0,0.0,0.0,0.02781818181818182,0.01901813471502591,0.024050043599691016,0.1343120872952334,0.12752849740932645,0.13153033611047846
NA-NA,M0268TS028_3,M0268,,,,,,,,,
NA-protein,M0268TS028_3,M0268,0.0,0.0,0.0,0.0612,0.04268023255813954,0.05337465241462786,0.2672700474270878,0.25493604651162793,0.2621390024699921
protein-protein,M0268TS028_3,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.023513787185354695,0.02512616822429907,0.02441401819922909
NA-containing,M0268TS028_3,M0268,0.0,0.0,0.0,0.0612,0.04268023255813954,0.05337465241462786,0.2672700474270878,0.25493604651162793,0.2621390024699921
all,M0268TS028_4,M0268,0.009818181818181818,0.005595854922279793,0.008074998205500636,0.04681818181818182,0.029847150259067354,0.0396766604973728,0.13563598414614333,0.12863730569948187,0.13277338427633587
NA-NA,M0268TS028_4,M0268,,,,,,,,,
NA-protein,M0268TS028_4,M0268,0.0216,0.012558139534883722,0.017920974682676973,0.10300000000000001,0.06698255813953488,0.08805505712462311,0.26946757636702034,0.25666279069767445,0.2641534566082497
protein-protein,M0268TS028_4,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.02410965729541244,0.02573831775700935,0.02502441181251026
NA-containing,M0268TS028_4,M0268,0.0216,0.012558139534883722,0.017920974682676973,0.10300000000000001,0.06698255813953488,0.08805505712462311,0.26946757636702034,0.25666279069767445,0.2641534566082497
all,M0268TS028_5,M0268,0.0,0.0,0.0,0.006454545454545455,0.006841968911917099,0.006479445652536854,0.12613282980664084,0.12229274611398963,0.12455867547276304
NA-NA,M0268TS028_5,M0268,,,,,,,,,
NA-protein,M0268TS028_5,M0268,0.0,0.0,0.0,0.0142,0.015354651162790698,0.01437993898472888,0.24991052240363892,0.24347093023255814,0.2471574240862837
protein-protein,M0268TS028_5,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.022984752642475754,0.024897196261682242,0.024011545653221368
NA-containing,M0268TS028_5,M0268,0.0,0.0,0.0,0.0142,0.015354651162790698,0.01437993898472888,0.24991052240363892,0.24347093023255814,0.2471574240862837
all,M0268TS033_1,M0268,0.0,0.0,0.0,0.008545454545454545,0.008119170984455958,0.008230766656231668,0.12362858417648331,0.11957253886010365,0.12190035467190581
NA-NA,M0268TS033_1,M0268,,,,,,,,,
NA-protein,M0268TS033_1,M0268,0.0,0.0,0.0,0.0188,0.01822093023255814,0.018266674135589432,0.25007896233765853,0.24321511627906975,0.24709326186401567
protein-protein,M0268TS033_1,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.018253269042170644,0.02019626168224299,0.019225672961959903
NA-containing,M0268TS033_1,M0268,0.0,0.0,0.0,0.0188,0.01822093023255814,0.018266674135589432,0.25007896233765853,0.24321511627906975,0.24709326186401567
all,M0268TS033_2,M0268,0.0,0.0,0.0,0.00890909090909091,0.008411917098445595,0.008561486123773592,0.12794261146506392,0.12258290155440414,0.12571146049611856
NA-NA,M0268TS033_2,M0268,,,,,,,,,
NA-protein,M0268TS033_2,M0268,0.0,0.0,0.0,0.0196,0.018877906976744185,0.019000645221904956,0.259757125412745,0.25017441860465117,0.25574864799819463
protein-protein,M0268TS033_2,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.018097183175329632,0.020032710280373834,0.019063830556954733
NA-containing,M0268TS033_2,M0268,0.0,0.0,0.0,0.0196,0.018877906976744185,0.019000645221904956,0.259757125412745,0.25017441860465117,0.25574864799819463
all,M0268TS033_3,M0268,0.005363636363636363,0.0030569948186528494,0.004411341612264236,0.03509090909090909,0.02324870466321243,0.030063169211844494,0.13153635976603653,0.1257564766839378,0.12914279627435693
NA-NA,M0268TS033_3,M0268,,,,,,,,,
NA-protein,M0268TS033_3,M0268,0.0118,0.006860465116279069,0.009790162095166125,0.07719999999999999,0.052174418604651156,0.06671967975912346,0.26075554558792835,0.2504883720930232,0.25639950442958176
protein-protein,M0268TS033_3,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.023853704914460067,0.025504672897196264,0.024775525808760992
NA-containing,M0268TS033_3,M0268,0.0118,0.006860465116279069,0.009790162095166125,0.07719999999999999,0.052174418604651156,0.06671967975912346,0.26075554558792835,0.2504883720930232,0.25639950442958176
all,M0268TS033_4,M0268,0.005181818181818182,0.0029533678756476687,0.004261804608458669,0.01909090909090909,0.014129533678756474,0.01690391287695457,0.13195579420315057,0.12575647668393786,0.1294070375577649
NA-NA,M0268TS033_4,M0268,,,,,,,,,
NA-protein,M0268TS033_4,M0268,0.0114,0.006627906976744187,0.00945829219363507,0.041999999999999996,0.03170930232558139,0.03751512842439062,0.2616906975574903,0.25043604651162793,0.2569683750812957
protein-protein,M0268TS033_4,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.023843374741200827,0.02554672897196262,0.024789930866364825
